CAND_ID,CAND_F_NAME,CAND_L_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,,
H6FL07140, STEPHANIE,MURPHY,I,1,DEM,247160.08,0.00,88723.35,0.00,85873.33,244310.06,0.00,0.00,0.00,0.00,0.00,0.00,47920.96,FL,7.00,,,,,,199239.12,0,3/31/2019,1495,0,,
H8FL07054, CHARDO,RICHARDSON,C,1,DEM,76.11,0.00,3041.11,0.00,2965.00,0.00,76.11,0.00,0.00,0.00,0.00,0.00,0.00,FL,7.00,,,,,,0.00,0,1/25/2019,0,0,,
H2FL08055, JOHN L. MR.,MICA,I,2,REP,0.00,0.00,0.00,0.00,24963.72,24963.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL07062, MIKE,MILLER,C,2,REP,17230.90,0.00,34149.61,0.00,34149.61,17230.90,0.00,0.00,0.00,25628.42,0.00,99371.58,0.00,FL,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL07070, JONATHAN SCOTT,STURGILL,C,2,REP,573.19,0.00,1012.54,0.00,439.35,0.00,0.00,0.00,0.00,0.00,0.00,181968.35,0.00,FL,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL07088, VENNIA V.,FRANCOIS,C,2,REP,0.00,0.00,4748.96,0.00,6660.84,1911.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL09187, DENA MD,GRAYSON,C,1,DEM,2298.83,0.00,2298.83,0.00,751.85,751.85,0.00,2298.83,0.00,0.00,0.00,257798.28,0.00,FL,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL08102, SANJAY SOMABHAI,PATEL,C,1,DEM,1361.50,0.00,1372.72,0.00,-30.41,-41.63,350.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL15107, BILL,POSEY,I,2,REP,38681.74,0.00,33182.28,0.00,306530.27,312029.73,0.00,0.00,0.00,0.00,0.00,0.00,3375.00,FL,8.00,,,,,,35000.00,0,3/31/2019,0,0,,
H6FL08221, D.J.,MAURO,,3,UNK,24287.30,0.00,52512.37,0.00,28521.63,296.56,23400.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,8.00,,,,,,0.00,0,4/10/2019,0,0,,
H6FL08213, ALAN MARK,GRAYSON,C,1,DEM,18808.45,0.00,26518.55,0.00,926838.78,919128.68,0.00,0.00,0.00,0.00,0.00,2540435.13,18806.79,FL,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL09179, DARREN,SOTO,I,1,DEM,87586.11,0.00,18108.56,0.00,6518.77,75996.32,0.00,0.00,0.00,0.00,0.00,0.00,15086.11,FL,9.00,,,,,,72500.00,0,3/31/2019,0,0,,
H2FL08063, VALDEZ VAL,DEMINGS,I,1,DEM,74282.66,0.00,64639.63,0.00,86394.90,96037.93,0.00,0.00,0.00,0.00,0.00,10790.44,26282.66,FL,10.00,,,,,,48000.00,0,3/31/2019,85,0,,
H8FL11130, DANA,COTTRELL,C,1,DEM,8844.20,0.00,7364.96,0.00,-278.57,1200.67,0.00,0.00,0.00,0.00,0.00,0.00,8844.20,FL,11.00,,,,,,0.00,0,3/31/2019,0,0,,
H0FL08208, DANIEL,WEBSTER,I,2,REP,84731.20,0.00,25680.04,0.00,106406.50,165457.66,0.00,0.00,0.00,0.00,0.00,0.00,81230.00,FL,11.00,,,,,,3500.00,0,3/31/2019,0,0,,
H0FL11152, TONY,BUNTYN,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31735.06,0.00,FL,11.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL12088, CHRISTOPHER J.,HUNTER,C,1,DEM,612.14,0.00,5638.24,0.00,9705.30,4679.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,12.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL09070, GUS M,BILIRAKIS,I,2,REP,128523.18,0.00,62961.34,0.00,19606.78,85168.62,0.00,0.00,0.00,0.00,0.00,0.00,55041.00,FL,12.00,,,,,,73200.00,0,3/31/2019,0,0,,
H8FL12096, ANGELIKA MRS.,PURKIS,C,3,NPA,0.00,0.00,0.00,0.00,-2091.66,-2091.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,12.00,,,,,,0.00,0,1/30/2019,0,0,,
H6FL13189, ERIC,LYNN,C,1,DEM,708.47,0.00,687.50,0.00,138676.13,138697.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,13.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL13205, CHARLIE JOSEPH,CRIST,I,1,DEM,352807.41,0.00,57587.63,0.00,1679057.02,1974276.80,0.00,0.00,0.00,0.00,0.00,48638.28,277203.41,FL,13.00,,,,,,75000.00,0,3/31/2019,1,0,,
H6FL13114, GEORGE T,HUDSON,O,2,REP,0.00,0.00,0.00,0.00,1036.15,1036.15,0.00,0.00,0.00,0.00,0.00,178232.26,0.00,FL,13.00,,,,,,0.00,0,1/31/2019,0,0,,
H8FL13136, GEORGE WILLIAM PHD,BUCK,C,2,REP,7430.00,0.00,2702.30,0.00,8.38,4736.08,0.00,0.00,0.00,0.00,0.00,9670.00,7430.00,FL,13.00,,,,,,0.00,0,3/31/2019,0,0,,
H4FL13077, LUCAS,OVERBY,C,3,LPF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3850.00,0.00,FL,13.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL11126, KATHY,CASTOR,I,1,DEM,96271.00,0.00,80296.36,0.00,740403.71,756378.35,0.00,0.00,0.00,0.00,0.00,0.00,27804.02,FL,14.00,,,,,,67500.00,0,3/31/2019,600,0,,
H8FL15180, ANDREW,LEARNED,C,1,DEM,24715.00,0.00,754.33,0.00,7259.65,31220.32,0.00,5600.00,0.00,0.00,0.00,7600.00,19115.00,FL,15.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL15271, KRISTEN,CARLSON,O,1,DEM,82974.24,0.00,853.43,0.00,6955.00,89075.81,0.00,0.00,0.00,0.00,0.00,66500.00,0.00,FL,15.00,,,,,,0.00,0,3/31/2019,75,0,,
H0FL12101, DENNIS ALAN,ROSS,I,2,REP,0.00,0.00,42436.50,0.00,48987.40,6550.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,15.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL15214, ED,SHOEMAKER,O,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,15.00,,,,,,0.00,0,1/22/2019,0,0,,
H8FL15222, NEIL,COMBEE,O,2,REP,34.59,0.00,0.00,0.00,87.52,122.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,15.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL15230, VINCENT ROSS,SPANO,I,2,REP,223968.52,71528.52,7282.00,0.00,1644.90,218331.42,0.00,0.00,0.00,0.00,0.00,335979.18,94540.00,FL,15.00,,,,,,57900.00,0,3/31/2019,0,0,,
H2FL13139, JAN,SCHNEIDER,C,1,DEM,0.00,0.00,0.00,0.00,54788.83,54788.83,0.00,0.00,0.00,0.00,0.00,135578.50,0.00,FL,16.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL16055, M. DAVID,SHAPIRO,C,1,DEM,324.00,0.00,2557.63,0.00,2233.63,0.00,0.00,0.00,0.00,1191.80,0.00,153808.20,0.00,FL,16.00,,,,,,0.00,0,2/1/2019,0,0,,
H4FL16021, MARK A,FOLEY,C,2,REP,15446.21,0.00,50747.87,0.00,991413.81,956112.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,16.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL13148, VERNON,BUCHANAN,I,2,REP,579270.08,80340.77,155357.47,0.00,79240.27,503152.88,0.00,0.00,0.00,0.00,0.00,500000.00,238785.00,FL,16.00,,,,,,243700.00,0,3/31/2019,0,0,,
H0FL17159, ALLEN,ELLISON,C,1,DEM,0.00,0.00,850.66,0.00,917.72,67.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,17.00,,,,,,0.00,0,3/31/2019,0,0,,
H4FL17037, ALLEN L,ELLISON,C,1,DEM,0.00,0.00,850.66,0.00,917.72,67.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,17.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL16022, TOM MR.,ROONEY,I,2,REP,0.00,0.00,1909.20,0.00,1909.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,17.00,,,,,,0.00,0,1/21/2019,0,0,,
H8FL17046, JULIO,GONZALEZ,O,2,REP,0.00,0.00,3875.00,0.00,8235.71,4360.71,0.00,0.00,0.00,0.00,0.00,27500.00,0.00,FL,17.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL17053, GREG,STEUBE,I,2,REP,27371.05,6300.00,65072.76,35000.00,185068.43,147366.72,0.00,0.00,0.00,0.00,0.00,0.00,525.00,FL,17.00,,,,,,20500.00,0,3/31/2019,0,0,,
H6FL18113, JONATHAN,CHANE,O,1,DEM,0.00,0.00,45.00,0.00,398.89,353.89,0.00,0.00,0.00,0.00,0.00,117120.17,0.00,FL,18.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL18010, PAM,KEITH,C,1,DEM,0.00,0.00,1215.80,0.00,11765.39,10549.59,0.00,0.00,0.00,0.00,0.00,88000.00,0.00,FL,18.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL18028, LAUREN,BAER,C,1,DEM,121.45,0.00,1873.19,0.00,3162.56,1410.82,0.00,0.00,0.00,0.00,0.00,15000.00,0.00,FL,18.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL18097, BRIAN,MAST,I,2,REP,351143.05,110735.12,155395.30,0.00,167492.62,363240.37,0.00,0.00,0.00,0.00,0.00,0.00,188624.26,FL,18.00,,,,,,42250.00,0,3/31/2019,0,0,,
H6FL22081, MARK BENJAMIN,FREEMAN,C,2,REP,1837.50,0.00,1837.50,0.00,128.57,128.57,1837.50,0.00,0.00,0.00,0.00,500000.00,0.00,FL,18.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL19067, DAVID,HOLDEN,C,1,DEM,0.00,0.00,18850.00,0.00,19501.11,651.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,19.00,,,,,,0.00,0,3/31/2019,0,0,,
H2FL00284, PAIGE VANIER,KREEGEL,C,2,REP,0.00,0.00,0.00,0.00,74.41,74.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,19.00,,,,,,0.00,0,3/31/2019,0,0,,
H4FL19090, LIZBETH,BENACQUISTO,O,2,REP,0.00,0.00,0.00,0.00,4981.36,4981.36,0.00,0.00,0.00,0.00,0.00,121325.68,0.00,FL,19.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL19087, FRANCIS,ROONEY,I,2,REP,755.00,0.00,15960.10,0.00,652138.65,636933.55,0.00,0.00,0.00,0.00,0.00,1071525.00,755.00,FL,19.00,,,,,,0.00,0,3/31/2019,2000,0,,
H2FL23021, ALCEE L,HASTINGS,I,1,DEM,20255.96,0.00,44620.83,0.00,85531.90,61167.03,0.00,0.00,0.00,0.00,0.00,0.00,6655.96,FL,20.00,,,,,,13000.00,500,3/31/2019,0,0,,
H0FL20120, GREGORY WAYNE SR.,MUSSELWHITE,C,2,REP,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,FL,20.00,,,,,,0.00,0,3/31/2019,0,0,,
H2FL14053, LOIS J.,FRANKEL,I,1,DEM,93023.60,0.00,84997.18,0.00,967075.88,975102.30,0.00,0.00,0.00,0.00,0.00,0.00,76867.60,FL,21.00,,,,,,14500.00,0,3/31/2019,2000,0,,
H0FL19080, THEODORE ELIOT,DEUTCH,I,1,DEM,143191.71,0.00,107177.91,0.00,360872.00,396885.80,0.00,0.00,0.00,0.00,0.00,0.00,124691.71,FL,22.00,,,,,,18500.00,0,3/31/2019,0,0,,
H8FL22087, JEFF,FANDL,C,1,DEM,0.00,0.00,173.27,0.00,-6880.77,-7054.04,0.00,0.00,0.00,0.00,0.00,13000.00,0.00,FL,22.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL22061, NICOLAS T MR.,KIMAZ,C,2,REP,580.00,0.00,217.69,0.00,70.36,432.67,0.00,0.00,0.00,0.00,0.00,117270.00,580.00,FL,22.00,,,,,,0.00,0,3/31/2019,0,0,,
H0FL22050, OMAR,REYES,C,3,IND,8125.00,0.00,7592.57,0.00,100.00,632.43,7500.00,0.00,0.00,0.00,0.00,0.00,625.00,FL,22.00,,,,,,0.00,0,3/31/2019,0,0,,
H4FL20023, DEBBIE,WASSERMAN SCHULTZ,I,1,DEM,204390.05,0.00,172905.48,0.00,404213.88,435698.45,0.00,0.00,0.00,0.00,0.00,0.00,172797.07,FL,23.00,,,,,,31000.00,0,3/31/2019,5,0,,
H0FL23058, SHLOMO,NIZAHON,C,2,REP,0.00,0.00,0.00,0.00,101.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,23.00,,,,,,0.00,0,3/31/2019,0,0,,
H0FL23066, RICHARD,MENDELSON,C,2,REP,4479.00,0.00,580.16,0.00,0.00,3898.84,0.00,0.00,0.00,0.00,0.00,15.88,4479.00,FL,23.00,,,,,,0.00,0,3/31/2019,0,0,,
H2FL20043," JOSEPH ""JOE""",KAUFMAN,C,2,REP,0.10,0.00,943.15,0.00,29333.01,28389.96,0.00,0.00,0.00,0.00,0.00,89862.53,0.10,FL,23.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL23051, CARLOS JOSE JR.,REYES,C,2,REP,0.00,0.00,194.02,0.00,444.84,250.82,0.00,0.00,0.00,0.00,0.00,99443.88,0.00,FL,23.00,,,,,,0.00,0,3/31/2019,0,0,,
H6FL23063, TIMOTHY A.,CANOVA,C,3,IND,8468.15,0.00,22610.98,0.00,58337.27,44194.44,0.00,0.00,0.00,0.00,0.00,72000.00,6481.73,FL,23.00,,,,,,0.00,0,3/31/2019,27,0,,
H0FL17068, FREDERICA S.,WILSON,I,1,DEM,29159.09,0.00,44615.79,0.00,360268.67,344811.97,0.00,0.00,0.00,0.00,0.00,15250.00,60.00,FL,24.00,,,,,,29099.09,0,3/31/2019,0,0,,
H8FL27086, MARY,BARZEE FLORES,O,1,DEM,0.00,0.00,615.63,0.00,8150.98,7535.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,25.00,,,,,,0.00,0,3/31/2019,0,0,,
H2FL25018, MARIO,DIAZ-BALART,I,2,REP,263588.75,0.00,145881.80,0.00,147163.89,264870.84,0.00,0.00,0.00,0.00,0.00,0.00,82450.00,FL,25.00,,,,,,174500.00,0,3/31/2019,0,0,,
H8FL26039, DEBBIE,MUCARSEL-POWELL,I,1,DEM,457009.91,5293.36,61561.23,0.00,39817.47,435266.15,0.00,0.00,0.00,0.00,0.00,0.00,348756.22,FL,26.00,,,,,,101500.00,150,3/31/2019,445,0,,
H0FL25038, DAVID,RIVERA,C,2,REP,0.00,0.00,0.00,0.00,870.78,870.78,0.00,0.00,0.00,0.00,0.00,139873.58,0.00,FL,26.00,,,,,,0.00,0,3/31/2019,0,0,,
H4FL26038, CARLOS MR.,CURBELO,I,2,REP,21566.93,13385.01,111262.77,0.00,89898.46,202.62,0.00,0.00,0.00,0.00,0.00,0.00,3165.17,FL,26.00,,,,,,5000.00,0,3/31/2019,1550,0,,
H8FL26062, SOURAYA,FAAS,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9300.00,0.00,FL,26.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27029, KRISTEN,ROSEN GONZALEZ,O,1,DEM,0.00,0.00,6625.95,0.00,23863.12,17237.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,6400,0,,
H8FL27052, JOSE JAVIER,RODRIGUEZ,O,1,DEM,0.00,0.00,300.00,0.00,182775.82,182475.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27060, DAVID,RICHARDSON,O,1,DEM,0.00,0.00,1991.50,0.00,8271.90,6280.40,0.00,0.00,0.00,0.00,0.00,250000.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27128, KEN,RUSSELL,O,1,DEM,0.00,0.00,3077.00,0.00,13937.53,10860.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27136, MATTHEW W,HAGGMAN,O,1,DEM,1166.65,0.00,3687.05,0.00,2827.97,307.57,0.00,0.00,0.00,0.00,0.00,1291.17,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,3500,0,,
H8FL27193, DONNA,SHALALA,I,1,DEM,269370.13,0.00,103242.56,0.00,62786.57,228914.14,0.00,0.00,0.00,25000.00,0.00,0.00,175971.88,FL,27.00,,,,,,64500.00,0,3/31/2019,2715,0,,
H8FL27037, BRUNO,BARREIRO,O,2,REP,0.00,0.00,32.15,0.00,102204.86,102172.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27110, GABRIEL A,FERRER,C,2,REP,51.00,0.00,51.00,0.00,-2760.72,-2760.72,0.00,51.00,0.00,0.00,0.00,30480.53,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,0,0,,
H8FL27185, MARIA ELVIRA,SALAZAR,O,2,REP,3177.44,0.00,15606.37,0.00,12762.74,333.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FL,27.00,,,,,,0.00,0,3/31/2019,1600,0,,
H8GA01063, LISA M. MS.,RING,C,1,DEM,11623.53,0.00,5210.02,0.00,18145.08,24558.59,3500.00,0.00,0.00,0.00,0.00,0.00,8123.53,GA,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H4GA01039, EARL LEROY,CARTER,I,2,REP,96433.81,0.00,98567.44,0.00,1125192.17,1123058.54,0.00,0.00,0.00,0.00,0.00,0.00,22920.50,GA,1.00,,,,,,72500.00,0,3/31/2019,0,0,,
H4GA01096, JOHN,MCCALLUM,O,2,REP,0.00,0.00,0.00,0.00,-442.44,-442.44,0.00,0.00,0.00,0.00,0.00,260372.40,0.00,GA,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H2GA02031, SANFORD,BISHOP,I,1,DEM,167354.47,0.00,83497.31,0.00,92978.85,176836.01,0.00,0.00,0.00,0.00,0.00,0.00,20100.00,GA,2.00,,,,,,147254.47,0,3/31/2019,0,0,,
H4GA02078, VIVIAN LOUISE,CHILDS,C,2,REP,0.00,0.00,0.00,0.00,35.00,35.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,GA,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA03069, MELVIN RUSSELL MR.,OLIVER,C,1,DEM,0.00,0.00,0.00,0.00,250.17,250.17,0.00,0.00,0.00,0.00,0.00,2500.00,0.00,GA,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA13032, MICHAEL ROBERT,CRANE,O,2,REP,0.00,0.00,0.00,0.00,12.30,12.30,0.00,0.00,0.00,0.00,0.00,79390.87,0.00,GA,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H6GA03113, ANDERSON DREW IV,FERGUSON,I,2,REP,397345.00,26000.00,187713.35,0.00,114786.79,324418.44,0.00,0.00,0.00,0.00,0.00,0.00,128045.00,GA,3.00,,,,,,241300.00,0,3/31/2019,100,0,,
H6GA04129, HENRY C. 'HANK,JOHNSON,I,1,DEM,45403.00,0.00,35776.55,0.00,44456.62,54083.07,0.00,0.00,0.00,0.00,0.00,6211.20,4103.00,GA,4.00,,,,,,41300.00,0,3/31/2019,0,4000,,
H8GA04125, JOSEPH,PROFIT,C,2,REP,0.00,0.00,0.00,0.00,5727.15,5727.15,0.00,0.00,0.00,0.00,0.00,12800.00,0.00,GA,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H6GA05217, JOHN R.,LEWIS,I,1,DEM,420650.10,0.00,381569.55,0.00,2135382.89,2174463.44,0.00,0.00,0.00,0.00,0.00,0.00,359650.10,GA,5.00,,,,,,61000.00,0,3/31/2019,21562.5,0,,
H8GA06195, T. JONATHAN,OSSOFF,O,1,DEM,69531.86,0.00,20899.52,0.00,392475.44,441107.78,0.00,0.00,0.00,0.00,0.00,175000.00,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA06211, RICHARD,KEATLEY,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA06369, BOBBY,KAPLE,C,1,DEM,549.50,0.00,2826.05,0.00,2981.93,705.38,0.00,0.00,0.00,0.00,0.00,215591.92,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA06393, LUCIA KAY MS.,MCBATH,I,1,DEM,482044.80,0.00,243366.24,0.00,218684.35,457362.91,0.00,0.00,0.00,0.00,0.00,628.03,388276.10,GA,6.00,,,,,,92750.00,0,3/31/2019,3205.77,0,,
H8GA06401, STEVEN KNIGHT,GRIFFIN,C,1,DEM,377.16,0.00,678.34,0.00,301.18,0.00,0.00,377.16,0.00,173.34,0.00,3574.12,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA06168, BRANDON,BEACH,C,2,REP,123779.00,0.00,277.83,0.00,0.00,123501.17,0.00,0.00,0.00,0.00,0.00,0.00,123779.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H4GA06087, THOMAS EDMUNDS,PRICE,I,2,REP,1172.46,0.00,21906.77,0.00,1788463.31,1767729.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA06252, BOB,GRAY,O,2,REP,0.00,0.00,0.00,0.00,68.21,68.21,0.00,0.00,0.00,0.00,0.00,276616.52,0.00,GA,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA06286, KAREN CHRISTINE,HANDEL,C,2,REP,259849.29,0.00,13155.67,0.00,87689.40,334383.02,0.00,0.00,0.00,0.00,0.00,0.00,205470.94,GA,6.00,,,,,,42800.00,0,6/30/2019,675,0,,
H0GA07190, MARQUS A.,COLE,O,1,DEM,32707.20,0.00,16252.40,0.00,0.00,16454.80,0.00,0.00,0.00,0.00,0.00,0.00,32707.20,GA,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA07208, NABILAH AISHAH,ISLAM,O,1,DEM,102215.65,0.00,27846.64,0.00,0.00,74369.01,0.00,0.00,0.00,0.00,0.00,0.00,101215.65,GA,7.00,,,,,,1000.00,0,3/31/2019,500,0,,
H0GA07216, JOHN H DR.,EAVES,O,1,DEM,20145.00,0.00,1806.70,0.00,0.00,18338.30,0.00,0.00,0.00,0.00,0.00,0.00,20145.00,GA,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA07151, DAVID,KIM,O,1,DEM,0.00,0.00,16986.28,0.00,16986.28,0.00,0.00,0.00,0.00,14191.52,0.00,0.00,0.00,GA,7.00,,,,,,0.00,0,4/4/2019,0,0,,
H8GA07201, CAROLYN,BOURDEAUX,O,1,DEM,371537.73,0.00,115920.81,0.00,141933.49,397550.41,0.00,0.00,0.00,0.00,0.00,0.00,350253.57,GA,7.00,,,,,,3000.00,0,3/31/2019,42827.71,0,,
H0GA07133, ROB REP.,WOODALL,I,2,REP,11924.67,0.00,32249.87,0.00,47287.29,26962.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,7.00,,,,,,2278.02,0,3/31/2019,0,0,,
H0GA08099, JAMES AUSTIN,SCOTT,I,2,REP,106673.62,0.00,49031.29,0.00,560943.86,618586.19,0.00,0.00,0.00,0.00,0.00,0.00,61750.00,GA,8.00,,,,,,42300.00,0,3/31/2019,0,0,,
H8GA08092, DANIEL EVAN,ELLYSON,C,2,REP,0.00,0.00,0.00,0.00,437.58,437.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,8.00,,,,,,0.00,0,9/30/2019,0,0,,
H8GA09058, JOSHUA BRAXTON,MCCALL,C,1,DEM,0.00,0.00,2628.70,0.00,5505.69,2876.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA10228, CHRISTOPHER U MD,CATES,C,2,REP,0.00,0.00,0.00,0.00,442.11,442.11,0.00,0.00,0.00,0.00,0.00,250000.00,0.00,GA,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H2GA09150, DOUGLAS ALLEN,COLLINS,I,2,REP,262480.00,5000.00,74030.09,0.00,853081.48,1041531.39,0.00,0.00,0.00,0.00,0.00,0.00,104480.00,GA,9.00,,,,,,153000.00,0,3/31/2019,500,0,,
H6GA09243, PAUL,BROUN,C,2,REP,0.00,0.00,0.00,0.00,1316.90,1316.90,0.00,0.00,0.00,0.00,0.00,87993.36,0.00,GA,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA10148, CHALIS POMEROY,MONTGOMERY,C,1,DEM,0.00,0.00,165.97,0.00,0.00,-165.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,10.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA07125, JODY,HICE,I,2,REP,24311.00,0.00,35540.33,0.00,111617.99,100388.66,0.00,0.00,0.00,0.00,0.00,0.00,22311.00,GA,10.00,,,,,,2000.00,0,3/31/2019,0,0,,
H2GA10117, STEPHEN K MR.,SIMPSON,O,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GA,10.00,,,,,,0.00,0,3/31/2019,0,0,,
H4GA10071, MICHAEL A JR,COLLINS,O,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155941.43,0.00,GA,10.00,,,,,,0.00,0,3/31/2019,0,0,,
H0GA11028, RACHEL,KINSEY,C,1,DEM,3215.00,0.00,0.00,0.00,0.00,3215.00,0.00,2000.00,0.00,0.00,0.00,2000.00,1215.00,GA,11.00,,,,,,0.00,0,3/31/2019,0,0,,
H8GA11062, FLYNN D. JR.,BROADY,C,1,DEM,321.00,0.00,206.99,0.00,17.99,132.00,0.00,0.00,0.00,0.00,0.00,0.00,321.00,GA,11.00,,,,,,0.00,0,3/31/2019,0,0,,
H4GA11061, BARRY,LOUDERMILK,I,2,REP,68024.31,0.00,50534.15,0.00,195915.30,213405.46,0.00,0.00,0.00,0.00,0.00,0.00,10300.00,GA,11.00,,,,,,55750.00,0,3/31/2019,0,0,,
