lobbyist_name,position
Mary Stanton,"Leg. Asst, Sen. Kohl (2006-2007);
Policy Adv, Sen. Aging Comm. (2004-2006);
Leg. Asst, Rep. Weiner (2004);
Leg. Correspondent, Sen. Kohl (2003-2004);
Staff Asst, Sen. Kohl (2002-2003);
Intern, Rep. Gephardt (2001);
Intern, Rep. Dingell (2000)"
Patrice Willoughby,"Dep Assoc Admin, Intergovt Affairs Office, GSA (2011-2012);
Exec Dir, CBC, Rep. Barbara Lee (2008-2011);
Leg Asst, Counsel, Chief/Staff, Rep. Tubbs Jones (2000-2008)"
Sherry Widicus,"Staff Asst, Office Manager, Legislative Asst and Dir, Rep. Ron Kind"
Heather McHugh,"Legislative Director, Senator Charles Schumer.  Legislative Director Congressman Steve Israel.  Legislative Assistant Congresswoman Nydia Velazquez"
Heather McHugh,"Legislative Director, Senator Charles Schumer. Legislative Director, Congressman Steve Israel.  Legislative Assistant, Congresswoman Nydia Velazquez."
Heather McHugh,"Legislative Director, Senator Charles Schumer.  Legislative Director, Congressman Steve Israel.  Legislative Assistant, Congresswoman Nydia Velazquez"
Heather McHugh,"Legislative Director, Senator Charles Schumer.  Legislative Director, Congressman Steve Israel.  Legislative Assistant, Congresswoman Nydia Velazquez."
Elizabeth Burks,"​COS, Sen. Blanche Lincoln; COS, Rep Jim Turner"
Darryl Nirenberg,​PSSenAgCom83-87; CDSDSenFRCom87-91; CSSenHelms91-95
Allison Nyholm,"Legislative Aide, Senator Lisa Murkowski"
Lisa Mortier,"Legislative Aide, Projects Coordinator"
Chris Caron,"LD, Sr. Policy Advisor, Dep COS; Rep Tom Cole"
"Victor F. Klatt, III","Education Policy Director, House Committee on Education & Workforce; and Staff Director, House Committee on Education & Labor"
Alexander G. Nock,"DeputyStaffDir; House Committee on Education and Labor; Education Coordinator, House committee on Ed & the Workforce; LegAssoc,House Committee on Ed&Workforce; LegAsst, Congressman Matthew G. Martinez; and Staff Asst, House Comm on Ed & Labor"
Lindsay Fryer,"Senior Education Policy Advisor, Senate Health Education Labor Pensions Committee; and Professional Staff Member, Committee on Education and The Workforce"
Robert Hobart,"Dep COS, Cong. Zach Wamp; LD, Cong. Rick Hill; LA, Cong. B. Vucanovich"
Benjamin Quayle,Former U.S. Congressman
Rashid Hallaway,"Legislative Assistant, U.S. Senator Evan Bayh"
Richard Hoar,"Prof. Staff Mbr, House Cmte on Ed. & the Workforce, Deputy Chief of Staff & Leg. Dir., U.S. Rep. Gus Bilirakis"
Jesse Appleton,"Leg. Ass't, Sen. J. Talent Sr. Advisor, US Treasury"
Brett Thompson,"Leg. Dir., Sen. J. Talent"
Henry Bonilla,Member of Congress (1993-2007)
Christine Pellerin,Staff Asst Rep Conte/Leg Asst Rep Bonilla
Theodore B. Schroeder,"Chief Counsel, U.S. Senator Christopher A Coons"
Bruce Mehlman,"Assistant Secretary of Commerce for Tech Policy; 
General Counsel and Policy Director, House Republican Conference"
David Castagnetti,"Chief of Staff, Senator Max Baucus; 
Chief of Staff, Representative Norm Mineta; 
EA, Representative Ed Markey"
Dean Rosen,"Health Policy Director, Senate Majority Leader Frist; 
Staff Director, Senate Subcommittee on Public Health; 
Majority Health Policy Counsel, House Committee on Ways & Means, Subcommittee on Health"
Dean Rosen,"Health Policy Coordinator and Counsel, Senate Committee on Labor and Human Resources; 
Counsel and Professional Staff, Senate Committee on Labor & Human Resources, Subcommittee on Disability Policy;
Case Worker, Representative R. Boschwitz"
David Thomas,"Chief of Staff, Representative Zoe Lofgren; 
Director of Congressional Relations, FTC; 
Deputy Director for Legislative Affairs, Vice President Gore; 
Staff Assistant, Senator Metzenbaum"
Elise Pickering,"Executive Director, House Republican Policy Committee; 
Chief of Staff, Representative John Shadegg; 
Legislative Assistant, Representative Dannemeyer; 
Legislative Director, Representative Bartlett"
Charles Wooters,"Chief of Staff, Representative Chris Van Hollen; 
Director of Member Services, Office of the Assistant to the Speaker; 
Chief of Staff, Representative Louise Slaughter"
Sage Eastman,"Strategy Director, Committee on Ways & Means; 
Deputy Staff Director (Majority), Committee on Ways & Means; 
Senior Advisor, Committee on Ways & Means; 
Communications Director, Representative Dave Camp"
Lauren Aronson,"Director, Office of Legislation, Centers for Medicare & Medicaid Services (CMS)
Professional Staff Member, Committee on Ways & Means; 
Policy Director, White House; 
Policy Director, HHS Office of Health Reform (detailed to the White House);"
Lauren Aronson,"Policy Advisor, Representative Rahm Emanuel; 
Health LA, Representative Carolyn McCarthy"
Michael Robinson,"Member Services and Coalitions Director, House Appropriations Committee; 
Policy Advisor/Deputy Chief of Staff, House Majority Leader/Representative Tom DeLay;  
Legislative Director, Representative Hal Rogers;"
Michael Robinson,"Senior Legislative Assistant, Representative Ralph Regula; 
Senior Legislative Assistant, Representative Bob Franks; 
Legislative Assistant, Representative Hal Rogers;"
Michael Robinson,"Special Projects Assistant, House Transportation and Infrastructure Committee; 
Staff Assistant, Representative Bud Shuster"
Constantine Hingson,"Chief of Staff, Senator Dan Coats;
Counsel/Legislative Director, Senator Judd Gregg;
General Counsel, Senator Elizabeth Dole"
Steven Haro,"Chief of Staff, Senator Dianne Feinstein;
Assistant Secretary of Commerce for Legislative and Intergovernmental Affairs;
Chief of Staff, Senator Martin Heinrich;
Chief of Staff, Representative Martin Heinrich;"
Steven Haro,"Senior Advisor, Representative Xavier Becerra;
Director of Legislation and Communication, Representative Xavier Becerra;
Press Secretary, Representative Xavier Becerra"
Helen Tolar,"Chief of Staff, Senator John Boozman;
Staff Director/Chief Counsel, House Veterans Affairs Committee (Representative Jeff Miller);
Professional Staff/Counsel, Senate Veterans Affairs Committee (Senator Larry Craig);"
Helen Tolar,"Counsel/Legislative Director, Representative Jeff Miller;
Legislative Assistant, Representative Jeff Miller;
Scheduler, Representative Jeff Miller;
Law Clerk, House Transportation and Infrastructure Committee"
Alexander G. Nock,"DeputyStaffDir; House Committee on Education and Labor;
Education Coordinator, House committee on Ed & the Workforce;
LegAssoc,House Committee on Ed&Workforce; LegAsst,
Congressman Matthew G. Martinez; and Staff Asst, House Comm on
Ed & Labor"
Karla Thieman,"Chief of Staff, USDA; Senior Professional Staff, Senate Committee on Agriculture, Nutrition, and Forestry"
Jessica Schulken,"Clerk and Professional Staff Member, Senate Appropriation Subcommittee on Agriculture, Rural Development, Food and Drug Administration and Related Agencies"
Hayden Rogers,"​Chief of Staff, NC-11; Chief of Staff, Senate WV"
Hadley Sosnoff,"​Legislative Director, ID-1; Legislative Assistant ID-1; Legislative Correspondent NY-18"
Robert L. Livingston,Fmr. Cong. US House
Brian Diffell,"​Brian​Diffell​ ​Special Asst to the Chief Dep Whip, Research Analyst House Maj Whip, Sr Policy Adv House Maj Whip, Sr Policy Adv House Min Whip, Legislative Dir Rep Roy Blunt, Legislative Dir Sen Roy Blunt, Policy Adv Sen Republican Conf"
Brian Diffell,"Policy Adv., Sen. Rep. Conference: Leg. Director Sen. Blunt; Leg. Dir. Rep. Blunt; Sr. Policy Adv. Rep. Maj. Whip; Sr. Policy Adv. House Maj. Whip; Research Analyst, House Maj. Whip; Spec. Asst to the Chief Deputy Whip Blunt"
Kelli Briggs,"Chief of Staff, 12th Congressional District of Ohio; Chief of Staff, D.C. Chief of Staff, Deputy Chief of Staff, Legislative Director, Legislative Correspondent, Staff Assistant, Intern for Rep. Tiberi"
Katie Pahner,"Health Insurance Specialist, Centers for Medicare & Medicaid Services"
Ashley Gunn,"Special Asst to the President, Senior Director, White House Office of Cabinet Affairs"
Regina Mahony,"Senior Policy Advisor, House Majority Leader/Democratic Whip Steny H Hoyer; Senior Policy Advisor, Rep. Cal Dooley"
Jeff Shapiro,"Chief of Staff, Rep. Adrian Smith; Senior Legislative Assistant, Rep. Lee Terry"
John Michael Gonzalez,"Chief of Staff, Rep. Chris Bell; Chief of Staff, Rep. Melissa Bean"
Jonathon Jones,"Chief of Staff, Senator Carper; Legislative Director, Senator Carper"
Tim Molino,"Chief Counsel, Senator Amy Klobuchar; Counsel, Senator Amy Klobuchar"
Andrew McKechnie,"Health Policy Advisor, Sen. Finance Committee; Legislative Assistant, Senator Norm Coleman; Legislative Assistant, Rep. Jim Ramstad; Bipartisan Medical Technology Caucus"
Sean Richardson,"Chief of Staff, Senator Amy Klobuchar; Chief of Staff, Rep. Patrick Kennedy; Dpty Staff Dir., Dem. Tech. and Comm. Committee; Policy Advisor, Rep. Dick Gephardt; Staff Assistant, Rep. Dick Gephardt;"
Emily Kirlin,"Director of Member Services, Senator John Cornyn; Whip Liaison, Senator Jon Kyl; Internal Communications Advisor, Senator Lamar Alexander"
Bryant Hall,"Staff Director, Senate Veterans Affairs Committee; Legislative Director, Senator Bob Graham"
Drew Cantor,"Press Secretary, Rep. Sue Kelly; Sr. Comms. Advisor, Sen. Republican Conference"
Jay Heimbach,"Special Asst to the President, The White House; CoS Senator Sherrod Brown; FCC - CSB and Congressional Affairs; OLA, The White House"
Lindsey Ledwin,"EA and Senior Scheduler, Sen. Olympia Snowe; Clerk, Sen. Comm. on Small Bus. and Entrprnrship; Staff Assist., Sen. Cohen, Special Comm. on Aging; Executive Assistant, Senator Susan Collins;
Prof. Staff, Permanent Subcomm. on Investigations"
Nadeam Elshami,"CoS, Dem. Ldr Pelosi; Comms.Dir/Sr. Adv., Dem.Ldr Nancy Pelosi; Dep. Comms. Dir/Sr. Adv., Speaker Pelosi; Sr. Comms. Adv./Dep. Comms. Dir/Spokesman/Natl Press Sec, Sen Durbin; Dep. CoS/Comms Dir/Press Sec, Rep Schakowsky; Dep Press Sec, Sen Boxer"
Travis Norton,"Counsel, Sen. Tim Scott; Staff Dir, Senate Banking Subcomm. on Housing, Transportation, and Community Develop; General Counsel & Parliamentarian, House Financial Services Comm; General Counsel & Parliamentarian, House Judiciary Comm"
Brian McKeon,Legislative Aide - Sen Boxer; Legislative Assistant - Sen Boxer; Domestic Policy Advisor - Sen Boxer; Senior Advisor - Sen Boxer; Senior Counsel - Sen Boxer; Legislative Director - Senator Shaheen
Greta Joynes,"Deputy Chief of Staff and Legislative Director Rep. John Shimkus, Senior Legislative Assistant Rep. John Shimkus, Legislative Assistant Rep. John Shimkus, Legislative Correspondent Rep. John Shimkus, Staff Assistant Rep. John Shimkus"
Russ Sullivan,"Staff Director, Senate Finance Committee"
Araceli Gutierrez,"Congressional Hispanic Caucus Institute Graduate Fellow, Rep. Roybal-Allard"
Hunter Bates,"CoS, Sen. McConnell, 2000-02; Legal Cnsl, Sen. McConnell, 1999-00; Chief Cnsl, Senate Rules Committee, 1997-99."
Ed Pagano,"Advsr, Sen Harkin, 2014; Dep Asst to the President for Leg Affairs and Sen Liaison, Exec Ofc of the President, 2012-14; CoS, Sen Leahy, 2005-11; Sr Cnsl, Sen Judiciary Comm, 1997-04"
Lauren O'Brien,"Dep. CoS, Rep. Geoff Davis, 2011-12; Leg. Dir., Rep. Geoff Davis, 2008-11; Leg. Asst., Rep. Geoff Davis, 2006-08; Leg. Cor., Rep. Geoff Davis, 2005; Int., Rep. Sensenbrenner, 2005."
Chase Hieneman,"Int, Sen. McConnell, May-June 2010."
James P. Moran,"Member of Congress, 1991-2015"
Jeff Miller,"Member of Congress, 2001-2017"
Marissa Serafino,"Staff Assistant, Legislative Assistant, Senator Jeanne Shaheen"
Carolyn Gluck,"Senior Policy Advisor, Sen. Harry Reid; Deputy Legislative Director, Sen. Harry Reid; Legislative Assistant, Sen. Harry Reid; Staff Assistant, Sen. Harry Reid."
Aryana Khalid,"Senior Advisor/Chief of Staff, Center for Medicare and Medicaid Services; Senior Policy Advisor, Office of White House Policy, Domestic Policy Council; Legislative Assistant, Sen. Mark Warner."
Leslie Pollner,"Chief of Staff, Rep. Suzanne Kosmas; Chief of Staff, Rep. Tim Mahoney"
Zachary Pfister,LegDir Rep Larry Kissell; SenLegAsst Rep Larry Kissell; LegAsst Rep Larry Kissell; LegCorrespondent Rep Larry Kissell; LegCorrespondent Rep Brad Ellsworth; StaffAsst Rep Brad Ellsworth; LegIntern Sen Evan Bayh
Tyler Nelson,"Chief of Staff House Member Office, Deputy Chief of Staff House Member Office, District Director (Olson)"
Tony Essalih,"COS, LD, LA House Member Office (Culberson), LA House Member Office (Archer), SA House Member Office (Hastings), Intern House Member Office (Bliley)"
John Sandell,"Tax Counsel, Legislative Assistant; Ways and Means Committee (Camp, Ryan, Brady)"
William Smith,"Staff Director, House Approps Cmte; Deputy Staff Director, House Approps Cmte; Chief of Staff, Legislative Director, Senior Legislative Assist, House Member Office (Rogers); Staff Assistant, Senate Approps Cmte"
Anthony Lazarski,"Senior Legislative Advisor, Senate Member Office (Inhofe); Professional Staff Member, Senate Armed Services Committee; Military Legislative Assistant, Senate Member Office (Inhofe)"
Susan Sweat,"LC, LA & LD House Office (Wicker); LD Senate Member Office (Wicker)"
Erik Fatemi,"Prof Staff Senate Approps Cmte (Byrd, Inouye, Mikulski)"
Mark Mioduski,Prof Staff; House Approps Cmte (Obey)
Laura Bozell,"LA House Member Office (McCrery), Prof Staff Ways & Means Cmte (Camp)"
John Bohanan,"District Director, Senior Advisor in House Member Office (Hoyer), Majority and Minority House Whip Office (Hoyer)"
Eric Tober,Staff Asst House Mem (Bruce); Sen Project Dir (Johnston)
Heather Molino,"Staff Director House Intelligence Cmte; Deputy COS House Member Office, Director of Communications House Member Office (Ruppersberger)"
James Richards,COS House Member Office (Pearce); Director IGA USDA; Appropriations Associate House Member Office (Skeen & Bonilla)
Kevin F. Kelly,"Chief Counsel/Floor Asst, Sec of the Democratic Conference; Chief Clerk/Maj Staff Dir, Senate VA/HUD Approps Subcomm"
Jasper Thomson,"Legislative Assistant, Congressman Dave Camp"
Lauren Lipin,"MilLegAsst/LegCorresp, Congressman C.A. Dutch Ruppersberger"
Derek Ross,"Staff Assistant, Leg Assistant, Rep. Tom Cole"
Doyle Bartlett,"Chief of Staff, Rep. Bill McCollum."
Chris McCannell,"Press Secretary, Rep. Paul Kanjorski; Press Secretary, Rep. Steny Hoyer; Chief of Staff, Rep. Joseph Crowley; Chief of Staff, Rep. Michael McMahon."
Alfonse D'Amato,"Member, U.S. Senate"
Christopher D'Amato,"Senior Counsel, U.S. Securities & Exchange Commission"
Sean King,"Senior Advisor for Asia, U.S. and Foreign Commercial Service"
Sam Geduldig,"Director of Coalitions, House Financial Services Committee 2001-2003;
Senior Advisor, Majority Whip Roy Blunt 2003-2006"
John Stipicevic,"Intern/Staff Assistant, Majority Whip Roy Blunt, 2003-2006; 
Floor Assistant, Republican Whip Roy Blunt, 2007-2008; 
Floor Assistant, Republican Whip Eric Cantor, 2009-2010;"
John Stipicevic,"Director of Floor Operations, Majority Whip Kevin McCarthy, 2011-2014; 
Deputy Chief of Staff for Floor and Member Services, Majority Leader Kevin McCarthy, 2014-2015"
Jennifer Stewart,"Eddie Bernice Johnson, 2000- 2002, Legislative Assistant
Gregory Meeks, 2002- 2005, Legislative Director"
Mike Williams,"White House 1995-1999, Special assistant to the President for legislative affairs"
Nancy Fox,"Staff Director House Appropriations Committee, Chief of Staff Rep. Rodney Frelinghuysen (NJ)
Scheduler Rep. Marge Roukema (NJ), Scheduler Rep. Silvio O. Conte (MA)"
Molly McDonnell,LC/LA/Senior Health Policy Advisor; Congressman Leonard Lance
Charla Penn,"LA, Rep. Pascrell; SA/LC/LA, Rep. Boyd"
Donna Mullins,"CoS/Approps Staff, Rep. Frelinghuysen and Rep. Dean Gallo; CoS Senator Chiesa"
Tracy Spicer,"Dep. Chief of Staff, Political Director, Legislative Assistant, Special Assistant, Staff Assistant - Sen. Edward M. Kennedy"
Matthew Schlapp,"​Political Director/Deputy Political Director, White House; ​Chief of Staff, Representative Todd Tiahrt"
Ivan Zapien,Chief of Staff to US Senator Robert Menendez; National Outreach Director for the House Democratic Caucus
Michael J. Bell,"Special Assistant to the Attorney General - Legislative Affairs - DOJ; Deputy Associate Director for Presidential Personnel - The White House; Staff Member - Senator Orrin G. Hatch; Staff Assistant - U.S. Senate, Comm on the Judiciary"
Hilary Tompkins,"Solicitor General, U.S. Department of the Interior"
Christopher Sarley,"Policy Coordinator, House Energy & Commerce Committee; Policy Director, Sr Legis Asst, House Member Office (Shimkus); Sr Legis Asst, Legislative Assistant, Legislative Correspondent, Staff Assistant, House Member Office (Hastert)"
Jennifer Cave,"Legislative Aide, Senator John Warner; Special Assistant, National
Security Council; Special Assistant, Senate Armed Services Committee;
Staff Assistant, Senator John Warner; and Intern, Senator John Warner"
Joel White,"Former staff director, Ways & Means Subcommittee"
Susan Zook,"Legislative Assistant, Senator Mike Crapo"
Susan Zook,"Legislative Assistant, Senator Crapo"
Joel White,"Former staff director, Ways and Means Health Subcommittee"
Maunica Sthanki,"​Counsel, Immigration and Border Security Subcommittee, House Judiciary

Committee"
Mary Beth Savary Taylor,"Joint Economic Committee, General Counsel; 
U.S. Senator Connie Mack, Legislative Assistant"
Stacey Hughes,"U.S. Senate Budget Cmte, Dpty Staff Dir;Ofce of the Asst. Maj. Ldr (Sen. Nickles), Policy Adv; Office of the Asst. Min. Ldr (Sen. Nickles), Policy Adv.;Senate Spec. Cmte on Aging (Sen.Cohen),Prof. Staff Member; U.S.Sen Connie Mack, Leg Asst/Schdlr"
Emily Porter,"Ofce of Spkr(Rep.Boehner),Asst to Spkr,Policy;Ofce of
Min.Ldr.(Rep.Boehner),Plcy Adv;Ofce of the Maj. Ldr(Rep. Boehner),Plcy Adv;Cmte Ed & the Wrkfrc(Rep.Boehner),Coalitions Dir. for Educ Plcy; Rep.Trent Franks,Sr.Leg.Asst; Rep.Tom Tancredo,Leg.Asst"
Rachel Jones Hensler,"U.S. Senate Budget Committee, Tax Policy Dir.; Office of U.S. Senator Fred Thompson, Legislative Assistant; Office of U.S. Senator Dave Durenberger, Legislative Assistant; Office of U.S. Senator Dave Durenberger, Legislative Correspondent"
susan zook,"Legislative Assistant, Senator Mike Crapo"
Leslee K. Gilbert,"Staff Director and Counsel, Committee on Science, Space & Technology;
Republican Staff Director, Committee on Science & Technology; Legislative Director,Congressman Ralph M. Hall; Deputy Communications
Director/Leg Asst, Congressman Ralph M. Hall"
Jennifer LaTourette,"Chief of Staff, Congressman Steven LaTourette; Special Assistant/Senior Legislative Assistant/Scheduler, Congressman Robert Borski; and Press Intern/Deputy Finance Director, Senator Max Baucus"
Matt Henken,"Legislative Director, Congressman Ed Perlmutter; Associate Staff, House Committee on Rules; and Congressional Aide, Congressman Mark Udall"
Justin Sayfie,"Commissioner, Commission on WH Fellows"
Cristina Antelo,"Legal Fellow, Senate Democratic Steering Committee"
Jeff Forbes,"Staff Director, Senate Finance Committee; Chief of Staff, Senator Max
Baucus; Deputy Asst., Special Asst., Deputy Director EOP"
Cindy Brown,"Leg Assistant, Rep. Stupak, 1993-1994  Leg Director, Rep. Kind, 1999-
2002  Chief of Staff, Rep. Kind, 2003-2009"
Derrick White,"Deputy Communications Director, Orrin Hatch"
Ryan Welch,"Legislative Director, Senator Richard Shelby
Legislative Assistant, Senator Richard Shelby
Legislative Correspondent, Senator Richard Shelby"
Michael Drobac,Legislative Director to Senator Coleman 05-06; Senator Hutchinson 03-05; Senator Gordon Smith 97-99
Robert Wasinger,"Chief of Staff, Senator Sam Brownback"
James Sartucci,"LD, Senator Lott; Professional Staff, Senate Committee on Commerce, Science and Transportation; Coast Guard Fellow, Senate Committee on Commerce, Science and Transportation"
Geoffrey Gradler,"Legislative Assistant, Office of Senator Richard Shelby; Policy Aide, Senate Banking Committee Chairman, Phil Gramm; Policy Aide, House Majority Whip and Majority Leader, Tom DeLay."
Geoffrey Gradler,"Legislative Assistant, Office of Senator Richard Shelby; Policy Aide, Senate Banking Committee Chairman Phil Gramm; Policy Aide, House Majority Whip and Majority Leader Tom DeLay."
Daniel Wolf,"Intern, Rep. Jared Huffman; Intern, Sen. Christopher Van Hollen"
Lisa Layman,"​CBO, PA(92-96); LA, Sen Chafee(97-99); LA, Sen Bryan(00); SPA, Sen Graham(01-04); SPA, Sen Stabenow(05-07)"
Lisa Layman,"CBO, PA(92-96); LA, Sen Chafee(97-99); LA, Sen Bryan(00); SPA, Sen Graham(01-04); SPA, Sen Stabenow(05-07)"
Erin Neal,"Legislative Assistant, Office of Senator Bill Nelson (2001 to 2003), Policy Analyst, Congressional Research Service (1999 to 2001)"
Paul Bock,"Chief of Staff, Sen. Herb Kohl; Counsel, Senate Judiciary Committee"
Kathryn Lehman,"Special Assistant to Speaker of the House; Policy Director, House Majority Whip; Director of Coalition Outreach, Speaker of House; Chief of Staff, House Republican Conference"
Manus Cooney,"Staff Director & Chief Counsel, Senate Judiciary Committee"
Shawn Smeallie,Special Asst. to Pres. Bush for Legislative Affairs; Special Asst. to Director for Legislative Affairs at the OMB
David Urban,"Chief of Staff, Senator Arlen Specter"
Maria Price,"​Counsel, U.S. Senator Kirsten Gillibrand"
Robert Raben,"​Asst. Attorney Gen DOJ; Counsel, House Judiciary"
Kate Hallahan,"2006-16, US House: Dem Clerk, Trans Approp SubCmte; 2001-06, US
Senate Prof Staff, Sen Trans Approp SubCmte); 2000-01, FAA Dpty Asst
Admnstr for Gov & Industry Affairs; 1997-2000, US DoT, Sr Policy
Advsr; 1996-97, US DoT: Spec. Asst to the Secy."
Steven Crane,"Subcommittee clerk, House Committee on Appropriations"
Steven Crane,"Staff assistant, Sen. Barbara Mikulski"
Don Nickles,U.S. Senator
Mary Beth Savary Taylor,"Joint Economic Committee, General Counsel; U.S. Senator Connie Mack, Legislative Assistant"
Don Kent,"U.S. Sen Ron Johnson, Chief of Staff; DHS Secretary Michael Chertoff, Asst Sec; DHS Secretary Tom Ridge, Deputy Asst Sec; U.S. Senate Budget Committee, Policy Adv; Office of the Asst. Maj. Leader Nickles Policy Adv.;U.S. Senator Don Nickles,Leg Asst"
Edward Ayoob,"Counsel, Senator Harry Reid; Counsel Asst. Majority Leader"
Jennifer Summa,GS15 Health Insurance Specialist Counsel to Senate Finance Committee (Detailee from CMS).
Rosemary Becchi,"Tax Counsel, Senate Finance Committee"
Harold Hancock,"Tax Counsel, House Ways and Means Committee"
Andrew Littman,"Policy Dir, Sen Barbara Boxer; Chief of Staff, Sen Al Franken; Sr Counselor, HHS Sec Sylvia Matthews Burwell"
Thomas Daschle,Former US Senator
Michael Morrow (Swisher Int'l Inc.),"House Ways & Means Committee, Professional Staff, (2002-2006)"
Brian Wild,Senior Advisor-Office of Speaker John Boehner; Deputy Assistant for Leg Affairs- VP Cheney; Chief of Staff-Rep. Pat Toomey; Legislative Assistant- Sen. Hank Brown
David Cohen,Prof. Staff-House Comm on Banking & Fin Svcs
David Leiter,"Legislative Assistant, U.S. Senator Wendell Ford"
David Leiter,"Chief of Staff, U.S. Senator John Kerry"
David Leiter,"Deputy Assistant Secretary for Energy Efficiency and Renewable Energy, U.S. Department of Energy"
Chris Jones,"Chief of Staff, Rep. Mike Ferguson; 2001-2009; Deputy Chief of Staff, Rep. David McIntosh, 1995-2001; Communications Director, House Government Reform and Oversight Subcommittee, 1996-2001; Press Secretary, Rep. John Myers, 1994-1995."
Adam Higgins,"Legislative Assistant, Rep. Mike Ferguson, 2007-2008."
Tyler Thompson,"Legislative Assistant, Sen. Johnny Isakson, 2005-2012; Legislative Correspondent, Sen. Saxby Chambliss, 2005-2005; Legislative Correspondent, Sen. Zell Miller, 2002-2005."
Greg Mesack,"Staff Assistant, Rep. Wally Herger; Legislative Director, Rep. Bob Ney."
Bradford Cheney,"Chief of Staff, Rep. Brad Sherman; Assistant to Chief of Staff, Sen. Hillary Clinton."
Erica Stocker,"2000-2009: Staff Assistant, Legislative Correspondent, Legislative Assistant, Deputy Chief of Staff, Rep. Jim Saxton"
Geoff Verhoff,"Press aide, ofc of Sen Roth, Nov 00-Jan 01; press aide, S Fin Comm, Aug 99-Nov 00"
Brendan Dunn,"Staff Mbr and Leg Asst to Sen Hatch Judiciary Comm and Sub-Comm, Apr04-May07, Aug07-May08; Special Counsel to Sen Hatch Fin Comm, Jan 11-Dec 12; Policy Adv and Counsel to Sen McConnell Majority Leader staff, Dec 12-May18."
Hazen Marshall,"Policy Director, Senate Majority Leader Mitch McConnell; Staff Director, Senate Budget Committee-Senator Don Nickles; Deputy Chief of Staff/Economist, Office of Assistant Majority Leader-Senator Don Nickles; Legislative Assistant, Senator Don Nickles"
Monica Popp,"Chief of Staff/Deputy Chief of Staff, Office of Senate Republican Whip John Cornyn; Professional Staff Member, U.S. House of Representatives-Energy & Commerce Committee; Legislative Assistant, Senator Jim DeMint"
Darrin Munoz,"Deputy Legislative Director, Energy/Environment Policy Advisor (Sen. Mike Enzi); Legislative Assistant (Rep. Denny Rehberg); Legislative Aide/Correspondence Director, Legislative Correspondent (Sen. John Barrasso)"
Jed Bhuta,Legislative Director- NC-11; Legislative Assistant- TN-08; Staff Assistant- Senate FL
"Victor F. Klatt, III","Education Policy Director, House Committee on Education &
Workforce; and Staff Director, House Committee on Education &
Labor"
Mike Nielsen,"Legislative Assistant, Sen. Robert F. Bennett 1999-2001;
Staff Director Subcommittee Financial Institutions 2002-06;
Senior Policy Advisor Sen. Robert F. Bennett 2007-10"
Jay Cranford,"LC, Rep. Bob Barr, Jan 1997- Aug 1997;
LA/Comm Director, Rep. Jim Gibbons Aug 1997-Sep 2000;
Staff Director House Subcommittee on Energy May 2004-Mar 2006;"
Jay Cranford,"Policy Advisor, Majority Leader Boehner Mar 2006-Dec 2006;
Policy Advisor, Minority Leader Boehner Jan 2007-Dec 2010;
Asst Policy Speaker Boehner Jan 2011-May 1, 2011"
Doug Schwartz,"Policy Director/Counsel, Office of Conference Chairman 2009;
Deputy Staff Director, Senate Republican Policy Committee 2009-2010;
Staff Director, Senate Republican Policy Committee 2010-2012;"
Doug Schwartz,"Chief of Staff, Senate Republican Conference 2012-2014;
Senior Advisor, Senator John Thune 2014"
Juliane Sullivan,"Staff Director, House Committee on Education and the Workforce, 2013-2017;
Senior Policy Adviser, Akin Gump Strauss Hauer & Feld, 2005-2013;
Policy Director, House Majority Leader Tom DeLay, 2003-2005;"
Juliane Sullivan,"Senior Appropriations Adviser, House Majority Whip Tom DeLay, 1999-2003;
Senior Legislative Assistant, Appropriations, Rep Anne Northup, 1997-1999;
Legislative Assistant, Rep Ed Whitfield 1994-1997"
Mike Freeman,"Counsel for Sen. Mike Lee, Oct. 2011- Jan. 2014;
Counsel, House Natural Resources Committee - Jan. 2014 - May 2017"
Katie Mitchell,"Scheduler, Rep. Paul Cook - Jan 2014-Nov 2014; 
Intern, Rep. Devin Nunes - Aug 2013-Dec 2013"
Aaron Szabo,"Analyst, Nuclear Regulatory Commission, 2008 - 2014;
Policy Analyst, Office of Information and Regulatory Affairs, Office of Management and Budget, 2014-2017;
Senior Counsel, Council on Environmental Quality, 2017-2018"
Langston Emerson,"Senior Legislative Assistant, Rep. Michael Capuano; Legislative Assistant, Rep. Carolyn Kilpatrick"
Cody Hoefer,"National Defense and Military Policy Advisor - Rep. Steve Russell (R-OK, 5th)"
John Ariale,"Chief of Staff - Congressman McCollum, Chief of Staff Congressman A. Crenshaw"
Jordan Bernstein,Chief of Staff and Legis. Dir. for Cong Emerson
Denny Rehberg,Former Congressman
Jennifer Leib,"Fellow, Senate Committee on Health, Education, Labor, and Pensions"
Sarah Beth Jansen,"​Counsel-Sen Coburn, S. Comm. Homeland Security; Counsel-Sen Coburn, S. Judic Comm; Legal Clerk, Sen Sessions, S. Subcomm. Admin./Courts; Legal Intern-Rep. Smith, H. Subcomm. Courts/Internet"
Allen Bradford Card,Chief of Staff to Congressman John E. Sweeney
Adam Bordes,"Office of Congressman Louis Stokes, Legislative Correspondent
Office of Congressman William L. Clay Sr., Legislative Assistant
Committee on Oversight and Government Reform, Professional Staff"
Angie Melton,"Legislative Assistant - Office of Congressman Jesse Jackson, Jr."
